old_hash_id,hash_id,author_name,content,source_url,source_name,title,important,image_url,shortened_url,created_at,score,category_names,relevancy_tags,tenant,fb_object_id,fb_like_count,country_code,impressive_score,targeted_city,gallery_image_urls,full_gallery_urls,bottom_headline,bottom_text,darker_fonts,bottom_panel_link,ads_vendor_tag,bottom_type,byline_1,byline_2,version,position_start_time,position_expire_time,trackers,dfp_tags,dont_show_ad,poll_tenant,crypto_coin_preference,is_overlay_supported,news_type,is_muted,video_audio_type,auto_play_type,show_in_video_feed_only,similar_threshold,is_similar_feed_available,show_publisher_info,is_profile_clickable,publisher_interaction_meta,capsule_image_url,capsule_custom_card_id,capsule_custom_card_url,capsule_campaign,is_youtube_video,fetch_date,create_date
karnataka-govt-suspends-all-transactions-with-sbi--pnb-1723641163776,1agqstmt-1,Daisy Mowke,The Karnataka government has issued an order suspending all transactions with the State Bank of India (SBI) and the Punjab National Bank (PNB). The order directed all state departments to close their accounts with these banks and immediately recover their deposits. The directive comes amid allegations of misuse of government funds deposited in the banks.,https://www.ndtvprofit.com/business/karnataka-government-terminates-sbi-pnb-accounts-immediately?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,NDTV Profit,"Karnataka govt suspends all transactions with SBI, PNB",True,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/14_wed/img_1723640609849_895.jpg?,https://shrts.in/PSeV5,2024-08-14 13:12:43,1000,"business,national","business,national",ENGLISH,,0,IN,50.33,,,,It further said no more deposits should be made,Tap to know more,True,https://www.ndtvprofit.com/business/karnataka-government-terminates-sbi-pnb-accounts-immediately?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,,DEFAULT,"[{'type': 'TEXT', 'text': 'swipe left for more at NDTV Profit / '}, {'type': 'TIME'}]","[{'type': 'TEXT', 'text': 'short by '}, {'type': 'TEXT', 'text': 'Daisy Mowke'}]",0,1970-01-01T00:00:00Z,2024-08-15T13:09:44.748Z,[],"score:1000,news:default,cat:business,cat:national,hash:6,noads:true,notification:true",True,ENGLISH,,False,NEWS,False,USER_SPECIFIED_AUDIO,AUTO_PLAY_USER_SPECIFIED,False,0,False,False,False,"{'user_id': 'TEzH3iHxzBXqfOZSeyPEbxwkAA62', 'is_publisher_followed': False, 'show_follow_button': True}",,,,,False,2024-08-15,2024-08-14
launching-largest-3bhk-homes--mumbai-nxt--panvel--hiranandani-1723609802462,l_pyjg6b6y-1,Roshan Gupta,"Hiranandani Communities has unveiled the third phase of its Golden Willows Sector at Hiranandani Fortune City, Panvel-Mumbai NXT. This exclusive phase showcases two towers, Aster & Zenia, offering 3 BHK balcony residences starting from ₹1.77 crore*, all inclusive. Golden Willows is spread across 11.11 acres with 70+ amenities. The township includes a school, medical centre, retail outlets & more.",https://hiranandaniexclusive.com/projects/hiranandani-fortune-city/golden-willows?utm_source=inshorts&utm_medium=story&utm_campaign=3BHKLaunch-Inshorts,Hiranandani,"Launching largest 3BHK homes @Mumbai NXT, Panvel: Hiranandani",False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/13_tue/img_1723534500190_467.jpg?,https://shrts.in/HyZMw,2024-08-14 04:30:02,1000,miscellaneous,,ENGLISH,,0,IN,28.37,"Mumbai,Custom_Mumbai,Maharashtra,Pune,Custom_Pune",,,Launching towers Aster & Zenia at Hiranandani,Tap to know more | *T&C apply,True,https://hiranandaniexclusive.com/projects/hiranandani-fortune-city/golden-willows?utm_source=inshorts&utm_medium=story&utm_campaign=3BHKLaunch-Inshorts,,DEFAULT,"[{'type': 'TEXT', 'text': 'powered ', 'bold': True}, {'type': 'TEXT', 'text': 'by Hiranandani'}]","[{'type': 'TEXT', 'text': 'powered ', 'bold': True}, {'type': 'TEXT', 'text': 'by Hiranandani'}]",0,1970-01-01T00:00:00Z,2024-08-14T13:00:21.541Z,[],"score:1000,news:default,cat:miscellaneous,hash:6,sponsored:true,noads:true",True,ENGLISH,,False,NEWS,False,USER_SPECIFIED_AUDIO,AUTO_PLAY_USER_SPECIFIED,False,0,False,False,False,"{'user_id': 'TEzH3iHxzBXqfOZSeyPEbxwkAA62', 'is_publisher_followed': False, 'show_follow_button': True}",,,,,False,2024-08-15,2024-08-14
new-makemytrip-campaign-invites-indians-abroad-to--rediscover-their-homeland--1723660787895,6vcjxht9-1,Roshan Gupta,"MakeMyTrip in partnership with Ministry of Tourism has launched 'India: The Homecoming' campaign on the eve of India's 78th Independence Day, encouraging Indians living abroad to revisit India and experience its progress, beauty, and cultural richness. Talking about the initiative, Minister of Tourism & Culture Gajendra Singh Shekhawat posted, ""We want our Indian diaspora to become ambassadors of Incredible India"".",https://www.youtube.com/watch?v=YMVmZmkLxqk,Youtube,New MakeMyTrip campaign invites Indians abroad to 'rediscover their homeland',False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/14_wed/img_1723649430762_947.jpg?,https://shrts.in/ADGjz,2024-08-14 18:39:47,1000,"business,national",,ENGLISH,,0,IN,27.33,,,,Tap to watch the video,Share with your loved ones abroad,True,https://www.youtube.com/watch?v=YMVmZmkLxqk,,DEFAULT,"[{'type': 'TEXT', 'text': 'powered ', 'bold': True}, {'type': 'TEXT', 'text': 'by MakeMyTrip'}]","[{'type': 'TEXT', 'text': 'powered ', 'bold': True}, {'type': 'TEXT', 'text': 'by MakeMyTrip'}]",0,1970-01-01T00:00:00Z,2024-08-15T18:39:00.327Z,[],"score:1000,news:default,cat:business,cat:national,hash:8,sponsored:true,noads:true",True,ENGLISH,,False,NEWS,False,USER_SPECIFIED_AUDIO,AUTO_PLAY_USER_SPECIFIED,False,0,False,False,False,"{'user_id': 'TEzH3iHxzBXqfOZSeyPEbxwkAA62', 'is_publisher_followed': False, 'show_follow_button': True}",,,,,True,2024-08-15,2024-08-14
mpox-declared-global-public-health-emergency-for-2nd-time-in-2-years-by-who-1723661391276,xf4ghtuy-1,Anmol Sharma,"The World Health Organization (WHO) has declared mpox a global public health emergency for the second time in two years. This comes after an outbreak of mpox in the Democratic Republic of Congo that has spread to neighbouring countries. More than 17,000 suspected mpox cases and 517 deaths have been reported in the African continent so far this year.","https://www.reuters.com/business/healthcare-pharmaceuticals/who-declares-mpox-global-public-health-emergency-second-time-two-years-2024-08-14/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts#:~:text=Aug%2014%20(Reuters)%20%2D%20The,has%20spread%20to%20neighbouring%20countries.",Reuters,Mpox declared global public health emergency for 2nd time in 2 years by WHO,False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/14_wed/img_1723659484813_735.jpg?,https://shrts.in/YGJLt,2024-08-14 18:49:51,1000,"world,Health___Fitness","sports,world,health_and_fitness",ENGLISH,,0,IN,16.0,,,,13 countries have reported cases,Tap to read more,True,"https://www.reuters.com/business/healthcare-pharmaceuticals/who-declares-mpox-global-public-health-emergency-second-time-two-years-2024-08-14/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts#:~:text=Aug%2014%20(Reuters)%20%2D%20The,has%20spread%20to%20neighbouring%20countries.",,DEFAULT,"[{'type': 'TEXT', 'text': 'swipe left for more at Reuters / '}, {'type': 'TIME'}]","[{'type': 'TEXT', 'text': 'short by '}, {'type': 'TEXT', 'text': 'Anmol Sharma'}]",0,1970-01-01T00:00:00Z,2024-08-15T18:46:53.537Z,[],"score:1000,news:default,cat:world,cat:Health___Fitness,hash:1",False,ENGLISH,,False,NEWS,False,USER_SPECIFIED_AUDIO,AUTO_PLAY_USER_SPECIFIED,False,0,False,False,False,"{'user_id': 'TEzH3iHxzBXqfOZSeyPEbxwkAA62', 'is_publisher_followed': False, 'show_follow_button': True}",,,,,False,2024-08-15,2024-08-14
india-poised-to-become-one-of-the-top-3-economies-soon--president-on-eve-of-i-day-1723647111649,sgm50d1p-1,Ankush Verma,President Droupadi Murmu addressed the nation today on the eve of the 78th Independence Day and said that India has become the fifth-largest economy in the world and is poised to become one of the top three economies soon. President Murmu also said that infrastructure has received a boost in recent years.,https://www.aninews.in/news/national/general-news/affirmative-action-must-be-strengthened-as-an-instrument-of-inclusion-president-murmu-in-i-day-address20240814193921/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,ANI,India poised to become one of the top 3 economies soon: President on eve of I-Day,False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/14_wed/img_1723645870196_338.jpg?,https://shrts.in/GNigZ,2024-08-14 14:51:51,1000,"business,national","national,business",ENGLISH,,0,IN,15.33,,,,'Financial sector much more efficient now',She further said,True,https://www.aninews.in/news/national/general-news/affirmative-action-must-be-strengthened-as-an-instrument-of-inclusion-president-murmu-in-i-day-address20240814193921/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,,DEFAULT,"[{'type': 'TEXT', 'text': 'swipe left for more at ANI / '}, {'type': 'TIME'}]","[{'type': 'TEXT', 'text': 'short by '}, {'type': 'TEXT', 'text': 'Ankush Verma'}]",0,1970-01-01T00:00:00Z,2024-08-15T14:31:12.654Z,[],"score:1000,news:default,cat:business,cat:national,hash:5,noads:true",True,ENGLISH,,False,NEWS,False,USER_SPECIFIED_AUDIO,AUTO_PLAY_USER_SPECIFIED,False,0,False,False,False,"{'user_id': 'TEzH3iHxzBXqfOZSeyPEbxwkAA62', 'is_publisher_followed': False, 'show_follow_button': True}",,,,,False,2024-08-15,2024-08-14
video--manu-bhaker-denies-dating-rumours-with-neeraj-chopra--1723632084584,cpibzup8-1,System User,"Indian shooting sensation and double Olympic medalist Manu Bhaker broke silence on rumours of her dating two-time javelin throw Olympic medal winner Neeraj Chopra. In a video, Bhaker said, ""When we meet at events, we do have a little conversation. So, that's it, just a little bit conversation sometimes. It's not like what people are hearing.""",https://www.freepressjournal.in/sports/aise-kuch-nahi-hai-manu-bhaker-denies-dating-rumours-with-neeraj-chopra-video?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,Free Press Journal,Video: Manu Bhaker denies dating rumours with Neeraj Chopra ,False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/14_wed/img_1723632038899_112.jpg?,https://shrts.in/3zYtk,2024-08-14 10:41:24,800,"hatke,sports",,ENGLISH,,0,IN,13.649999999999999,,,,Tap to know more,Tap here to read more,False,https://www.freepressjournal.in/amp/sports/aise-kuch-nahi-hai-manu-bhaker-denies-dating-rumours-with-neeraj-chopra-video?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,,DEFAULT,"[{'type': 'TEXT', 'text': 'swipe left for more at Free Press Journal / '}, {'type': 'TIME'}]","[{'type': 'TEXT', 'text': 'swipe left for more at Free Press Journal / '}, {'type': 'TIME'}]",0,1970-01-01T00:00:00Z,1970-01-01T00:00:00Z,[],"score:800,news:default,cat:hatke,cat:sports,hash:1",False,ENGLISH,,False,NEWS,False,USER_SPECIFIED_AUDIO,AUTO_PLAY_USER_SPECIFIED,False,0,False,False,False,"{'user_id': '1HXvhqnAOibfhzEGmzJsV5fHeWy2', 'is_publisher_followed': False, 'show_follow_button': True}",,,,,False,2024-08-15,2024-08-14
mumbai-metro-one-sets-record-of-5-00-385-commuters-in-single-day-1723643819946,xpvfmzud-1,System User,"Ten years after the operations began on the Mumbai Metro's Ghatkopar-Andheri-Versova route, the Mumbai Metro One has achieved a record of carrying more than 5,00,000 commuters in a single day. On August 13, 2024, Mumbai Metro One carried 5,00,385 commuters, the authorities informed. It has surpassed the pre-COVID ridership numbers.",https://www.freepressjournal.in/mumbai/mumbai-metro-one-sets-record-of-500385-commuters-in-single-day-surpasses-pre-covid-ridership?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,Free Press Journal,"Mumbai Metro One sets record of 5,00,385 commuters in single day",False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/14_wed/img_1723643774471_214.jpg?,https://shrts.in/GaQEs,2024-08-14 13:56:59,800,"hatke,miscellaneous,national,travel",,ENGLISH,,0,IN,13.68,,,,Tap to know more,Tap here to read more,False,https://www.freepressjournal.in/amp/mumbai/mumbai-metro-one-sets-record-of-500385-commuters-in-single-day-surpasses-pre-covid-ridership?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,,DEFAULT,"[{'type': 'TEXT', 'text': 'swipe left for more at Free Press Journal / '}, {'type': 'TIME'}]","[{'type': 'TEXT', 'text': 'swipe left for more at Free Press Journal / '}, {'type': 'TIME'}]",0,1970-01-01T00:00:00Z,1970-01-01T00:00:00Z,[],"score:800,news:default,cat:hatke,cat:miscellaneous,cat:national,cat:travel,hash:6",False,ENGLISH,,False,NEWS,False,USER_SPECIFIED_AUDIO,AUTO_PLAY_USER_SPECIFIED,False,0,False,False,False,"{'user_id': '1HXvhqnAOibfhzEGmzJsV5fHeWy2', 'is_publisher_followed': False, 'show_follow_button': True}",,,,,False,2024-08-15,2024-08-14
video--train-guard-manhandles--abuses-disabled-person-in-bihar-1723640229962,0zdyhcyo-1,System User,"In a shocking incident, a train guard mistreated a physically challenged person inside the Vaishali Superfast Express train at Samastipur Railway Station in Bihar. The guard abused and asked the person to get down from the train. He also grabbed the person by his collar and tried to push him out of the train.",https://www.freepressjournal.in/viral/video-train-guard-manhandles-abuses-disabled-person-inside-vaishali-superfast-express-in-bihars-samastipur?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,Free Press Journal,"Video: Train guard manhandles, abuses disabled person in Bihar",False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/14_wed/img_1723640212222_908.jpg?,https://shrts.in/fX4UV,2024-08-14 12:57:09,800,"hatke,miscellaneous,national",,ENGLISH,,0,IN,13.67,,,,Tap to know more,Tap here to read more,False,https://www.freepressjournal.in/amp/viral/video-train-guard-manhandles-abuses-disabled-person-inside-vaishali-superfast-express-in-bihars-samastipur?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,,DEFAULT,"[{'type': 'TEXT', 'text': 'swipe left for more at Free Press Journal / '}, {'type': 'TIME'}]","[{'type': 'TEXT', 'text': 'swipe left for more at Free Press Journal / '}, {'type': 'TIME'}]",0,1970-01-01T00:00:00Z,1970-01-01T00:00:00Z,[],"score:800,news:default,cat:hatke,cat:miscellaneous,cat:national,hash:4",False,ENGLISH,,False,NEWS,False,USER_SPECIFIED_AUDIO,AUTO_PLAY_USER_SPECIFIED,False,0,False,False,False,"{'user_id': '1HXvhqnAOibfhzEGmzJsV5fHeWy2', 'is_publisher_followed': False, 'show_follow_button': True}",,,,,False,2024-08-15,2024-08-14
netizens-troll-media-outlet-over-morkel-steyn-image-goof-up-1723635028518,uljw4c9v-1,System User,"Former South African fast bowler Morne Morkel has been appointed as the new bowling coach of the Indian cricket team. A news agency reported the news citing BCCI secretary Jay Shah. However, the media agency wrongly posted an image of Dale Steyn instead of Morkel. Netizens trolled the media agency over the wrong post on social media.",https://www.freepressjournal.in/sports/ye-morkel-kya-plastic-surgery-karke-khudko-styne-karlia-netizens-slam-media-outlet-over-image-goofup-after-indias-bowling-coach-announcement?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,Free Press Journal,Netizens troll media outlet over Morkel-Steyn image goof-up,False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/14_wed/img_1723634947304_999.jpg?,https://shrts.in/1Xqax,2024-08-14 11:30:28,800,"hatke,sports",,ENGLISH,,0,IN,13.66,,,,Tap to know more,To read more ,False,https://www.freepressjournal.in/amp/sports/ye-morkel-kya-plastic-surgery-karke-khudko-styne-karlia-netizens-slam-media-outlet-over-image-goofup-after-indias-bowling-coach-announcement?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,,DEFAULT,"[{'type': 'TEXT', 'text': 'swipe left for more at Free Press Journal / '}, {'type': 'TIME'}]","[{'type': 'TEXT', 'text': 'swipe left for more at Free Press Journal / '}, {'type': 'TIME'}]",0,1970-01-01T00:00:00Z,1970-01-01T00:00:00Z,[],"score:800,news:default,cat:hatke,cat:sports,hash:8",False,ENGLISH,,False,NEWS,False,USER_SPECIFIED_AUDIO,AUTO_PLAY_USER_SPECIFIED,False,0,False,False,False,"{'user_id': '1HXvhqnAOibfhzEGmzJsV5fHeWy2', 'is_publisher_followed': False, 'show_follow_button': True}",,,,,False,2024-08-15,2024-08-14
armed-robbery-attempt-caught-on-cam--staffer-bravely-thwarts-goons-1723628969177,brfckndy-1,System User,"An armed robbery attempt was carried out by four unidentified individuals at a jewellery showroom in Thane on Wednesday. The act was caught on a CCTV camera installed in the shop showing the alleged theft attempt and the retaliation by the shop's staff. According to reports, one person was arrested in connection with the case.",https://www.freepressjournal.in/mumbai/thane-news-brave-jewellery-shop-staffer-scares-off-armed-robbers-with-rod-in-balkum-dramatic-video-surfaces?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,Free Press Journal,"Armed robbery attempt caught on cam, staffer bravely thwarts goons",False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/14_wed/img_1723628933717_568.jpg?,https://shrts.in/iNB9G,2024-08-14 09:49:29,800,"hatke,national",,ENGLISH,,0,IN,13.639999999999999,,,,Tap to know more,Tap here,False,https://www.freepressjournal.in/amp/mumbai/thane-news-brave-jewellery-shop-staffer-scares-off-armed-robbers-with-rod-in-balkum-dramatic-video-surfaces?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,,DEFAULT,"[{'type': 'TEXT', 'text': 'swipe left for more at Free Press Journal / '}, {'type': 'TIME'}]","[{'type': 'TEXT', 'text': 'swipe left for more at Free Press Journal / '}, {'type': 'TIME'}]",0,1970-01-01T00:00:00Z,1970-01-01T00:00:00Z,[],"score:800,news:default,cat:hatke,cat:national,hash:9",False,ENGLISH,,False,NEWS,False,USER_SPECIFIED_AUDIO,AUTO_PLAY_USER_SPECIFIED,False,0,False,False,False,"{'user_id': '1HXvhqnAOibfhzEGmzJsV5fHeWy2', 'is_publisher_followed': False, 'show_follow_button': True}",,,,,False,2024-08-15,2024-08-14
